prime_minister_candidate_name,county,num,total_vote_count,offline_vote_count,online_vote_count
Dobrev Klára,Bács-Kiskun,1,1194,1084,110
Karácsony Gergely,Bács-Kiskun,1,771,535,236
Márki-Zay Péter,Bács-Kiskun,1,657,367,290
Jakab Péter,Bács-Kiskun,1,574,462,112
Fekete-Győr András,Bács-Kiskun,1,108,69,39
Dobrev Klára,Bács-Kiskun,2,1709,1541,168
Karácsony Gergely,Bács-Kiskun,2,1515,1220,295
Márki-Zay Péter,Bács-Kiskun,2,1245,824,421
Jakab Péter,Bács-Kiskun,2,644,514,130
Fekete-Győr András,Bács-Kiskun,2,189,138,51
Dobrev Klára,Bács-Kiskun,3,2017,1905,112
Jakab Péter,Bács-Kiskun,3,1145,991,154
Márki-Zay Péter,Bács-Kiskun,3,765,494,271
Karácsony Gergely,Bács-Kiskun,3,631,467,164
Fekete-Győr András,Bács-Kiskun,3,95,57,38
Dobrev Klára,Bács-Kiskun,4,944,944,0
Márki-Zay Péter,Bács-Kiskun,4,616,616,0
Karácsony Gergely,Bács-Kiskun,4,585,585,0
Jakab Péter,Bács-Kiskun,4,495,495,0
Fekete-Győr András,Bács-Kiskun,4,79,79,0
Dobrev Klára,Bács-Kiskun,5,1780,1682,98
Márki-Zay Péter,Bács-Kiskun,5,576,384,192
Karácsony Gergely,Bács-Kiskun,5,485,330,155
Jakab Péter,Bács-Kiskun,5,482,376,106
Fekete-Győr András,Bács-Kiskun,5,79,47,32
Dobrev Klára,Bács-Kiskun,6,1538,1411,127
Márki-Zay Péter,Bács-Kiskun,6,708,452,256
Jakab Péter,Bács-Kiskun,6,705,588,117
Karácsony Gergely,Bács-Kiskun,6,689,505,184
Fekete-Győr András,Bács-Kiskun,6,231,165,66
Dobrev Klára,Baranya,1,3136,2885,251
Karácsony Gergely,Baranya,1,2693,2079,614
Márki-Zay Péter,Baranya,1,1552,1108,444
Jakab Péter,Baranya,1,799,637,162
Fekete-Győr András,Baranya,1,327,233,94
Dobrev Klára,Baranya,2,3084,2898,186
Karácsony Gergely,Baranya,2,1926,1505,421
Márki-Zay Péter,Baranya,2,1261,926,335
Jakab Péter,Baranya,2,891,743,148
Fekete-Győr András,Baranya,2,183,121,62
Dobrev Klára,Baranya,3,1323,1201,122
Jakab Péter,Baranya,3,904,774,130
Karácsony Gergely,Baranya,3,566,385,181
Márki-Zay Péter,Baranya,3,539,305,234
Fekete-Győr András,Baranya,3,109,72,37
Dobrev Klára,Baranya,4,1592,1455,137
Karácsony Gergely,Baranya,4,813,627,186
Jakab Péter,Baranya,4,735,588,147
Márki-Zay Péter,Baranya,4,523,350,173
Fekete-Győr András,Baranya,4,86,56,30
Dobrev Klára,Békés,1,2248,2091,157
Márki-Zay Péter,Békés,1,1317,919,398
Jakab Péter,Békés,1,1197,1047,150
Karácsony Gergely,Békés,1,1168,899,269
Fekete-Győr András,Békés,1,127,73,54
Dobrev Klára,Békés,2,1066,916,150
Márki-Zay Péter,Békés,2,679,342,337
Karácsony Gergely,Békés,2,558,361,197
Jakab Péter,Békés,2,445,288,157
Fekete-Győr András,Békés,2,39,19,20
Dobrev Klára,Békés,3,1585,1481,104
Márki-Zay Péter,Békés,3,935,631,304
Jakab Péter,Békés,3,833,681,152
Karácsony Gergely,Békés,3,689,539,150
Fekete-Győr András,Békés,3,95,64,31
Jakab Péter,Békés,4,1918,1748,170
Dobrev Klára,Békés,4,1890,1784,106
Karácsony Gergely,Békés,4,1051,889,162
Márki-Zay Péter,Békés,4,955,725,230
Fekete-Győr András,Békés,4,105,73,32
Dobrev Klára,Borsod-Abaúj-Zemplén,1,2866,2721,145
Jakab Péter,Borsod-Abaúj-Zemplén,1,2104,1850,254
Karácsony Gergely,Borsod-Abaúj-Zemplén,1,1665,1400,265
Márki-Zay Péter,Borsod-Abaúj-Zemplén,1,977,728,249
Fekete-Győr András,Borsod-Abaúj-Zemplén,1,128,92,36
Dobrev Klára,Borsod-Abaúj-Zemplén,2,2756,2623,133
Karácsony Gergely,Borsod-Abaúj-Zemplén,2,1940,1653,287
Jakab Péter,Borsod-Abaúj-Zemplén,2,1769,1522,247
Márki-Zay Péter,Borsod-Abaúj-Zemplén,2,1136,829,307
Fekete-Győr András,Borsod-Abaúj-Zemplén,2,147,109,38
Karácsony Gergely,Borsod-Abaúj-Zemplén,3,2420,2275,145
Jakab Péter,Borsod-Abaúj-Zemplén,3,1342,1114,228
Dobrev Klára,Borsod-Abaúj-Zemplén,3,1162,1073,89
Márki-Zay Péter,Borsod-Abaúj-Zemplén,3,299,177,122
Fekete-Győr András,Borsod-Abaúj-Zemplén,3,63,41,22
Jakab Péter,Borsod-Abaúj-Zemplén,4,1203,1012,191
Karácsony Gergely,Borsod-Abaúj-Zemplén,4,753,625,128
Márki-Zay Péter,Borsod-Abaúj-Zemplén,4,605,437,168
Dobrev Klára,Borsod-Abaúj-Zemplén,4,274,171,103
Fekete-Győr András,Borsod-Abaúj-Zemplén,4,146,115,31
Dobrev Klára,Borsod-Abaúj-Zemplén,5,1062,990,72
Jakab Péter,Borsod-Abaúj-Zemplén,5,943,784,159
Márki-Zay Péter,Borsod-Abaúj-Zemplén,5,451,240,211
Karácsony Gergely,Borsod-Abaúj-Zemplén,5,416,370,46
Fekete-Győr András,Borsod-Abaúj-Zemplén,5,57,41,16
Dobrev Klára,Borsod-Abaúj-Zemplén,6,1075,934,141
Jakab Péter,Borsod-Abaúj-Zemplén,6,956,682,274
Karácsony Gergely,Borsod-Abaúj-Zemplén,6,613,401,212
Márki-Zay Péter,Borsod-Abaúj-Zemplén,6,495,246,249
Fekete-Győr András,Borsod-Abaúj-Zemplén,6,63,31,32
Dobrev Klára,Borsod-Abaúj-Zemplén,7,1149,987,162
Jakab Péter,Borsod-Abaúj-Zemplén,7,649,406,243
Márki-Zay Péter,Borsod-Abaúj-Zemplén,7,505,246,259
Karácsony Gergely,Borsod-Abaúj-Zemplén,7,497,325,172
Fekete-Győr András,Borsod-Abaúj-Zemplén,7,69,34,35
Karácsony Gergely,Budapest,1,4277,2934,1343
Márki-Zay Péter,Budapest,1,2527,1681,846
Dobrev Klára,Budapest,1,1789,1405,384
Fekete-Győr András,Budapest,1,440,274,166
Jakab Péter,Budapest,1,276,178,98
Karácsony Gergely,Budapest,2,5035,4003,1032
Márki-Zay Péter,Budapest,2,3176,2529,647
Dobrev Klára,Budapest,2,3038,2764,274
Fekete-Győr András,Budapest,2,742,615,127
Jakab Péter,Budapest,2,480,397,83
Karácsony Gergely,Budapest,3,5660,4053,1607
Márki-Zay Péter,Budapest,3,3079,2202,877
Dobrev Klára,Budapest,3,2410,2024,386
Fekete-Győr András,Budapest,3,507,334,173
Jakab Péter,Budapest,3,306,215,91
Karácsony Gergely,Budapest,4,4938,3120,1818
Márki-Zay Péter,Budapest,4,2551,1597,954
Dobrev Klára,Budapest,4,2383,1914,469
Fekete-Győr András,Budapest,4,463,244,219
Jakab Péter,Budapest,4,277,188,89
Karácsony Gergely,Budapest,5,4022,2851,1171
Dobrev Klára,Budapest,5,2345,2046,299
Márki-Zay Péter,Budapest,5,2037,1444,593
Jakab Péter,Budapest,5,531,397,134
Fekete-Győr András,Budapest,5,498,361,137
Karácsony Gergely,Budapest,6,2528,1568,960
Dobrev Klára,Budapest,6,2272,1933,339
Márki-Zay Péter,Budapest,6,2147,1415,732
Jakab Péter,Budapest,6,578,418,160
Fekete-Győr András,Budapest,6,354,235,119
Karácsony Gergely,Budapest,7,6270,4587,1683
Dobrev Klára,Budapest,7,3878,3291,587
Márki-Zay Péter,Budapest,7,3002,2062,940
Jakab Péter,Budapest,7,654,471,183
Fekete-Győr András,Budapest,7,459,285,174
Karácsony Gergely,Budapest,8,6047,4990,1057
Dobrev Klára,Budapest,8,3414,3136,278
Márki-Zay Péter,Budapest,8,3160,2562,598
Jakab Péter,Budapest,8,697,576,121
Fekete-Győr András,Budapest,8,616,460,156
Dobrev Klára,Budapest,9,3086,2796,290
Karácsony Gergely,Budapest,9,2693,2140,553
Márki-Zay Péter,Budapest,9,1604,1206,398
Jakab Péter,Budapest,9,648,507,141
Fekete-Győr András,Budapest,9,333,249,84
Karácsony Gergely,Budapest,10,3509,2710,799
Dobrev Klára,Budapest,10,3357,3058,299
Márki-Zay Péter,Budapest,10,2074,1505,569
Jakab Péter,Budapest,10,601,470,131
Fekete-Győr András,Budapest,10,326,216,110
Dobrev Klára,Budapest,11,3975,3670,305
Karácsony Gergely,Budapest,11,3226,2539,687
Márki-Zay Péter,Budapest,11,2161,1623,538
Jakab Péter,Budapest,11,791,651,140
Fekete-Győr András,Budapest,11,434,311,123
Dobrev Klára,Budapest,12,3763,3523,240
Karácsony Gergely,Budapest,12,2415,1964,451
Márki-Zay Péter,Budapest,12,1657,1247,410
Jakab Péter,Budapest,12,712,591,121
Fekete-Győr András,Budapest,12,309,231,78
Karácsony Gergely,Budapest,13,3820,3078,742
Dobrev Klára,Budapest,13,3062,2803,259
Márki-Zay Péter,Budapest,13,2420,1959,461
Jakab Péter,Budapest,13,524,429,95
Fekete-Győr András,Budapest,13,471,369,102
Dobrev Klára,Budapest,14,2850,2597,253
Karácsony Gergely,Budapest,14,2545,1996,549
Márki-Zay Péter,Budapest,14,1782,1273,509
Jakab Péter,Budapest,14,917,761,156
Fekete-Győr András,Budapest,14,286,191,95
Dobrev Klára,Budapest,15,3554,3242,312
Karácsony Gergely,Budapest,15,2934,2334,600
Márki-Zay Péter,Budapest,15,1761,1258,503
Jakab Péter,Budapest,15,689,515,174
Fekete-Győr András,Budapest,15,279,192,87
Dobrev Klára,Budapest,16,3142,2825,317
Karácsony Gergely,Budapest,16,2561,1982,579
Márki-Zay Péter,Budapest,16,1592,1186,406
Jakab Péter,Budapest,16,712,576,136
Fekete-Győr András,Budapest,16,327,211,116
Dobrev Klára,Budapest,17,3402,3146,256
Karácsony Gergely,Budapest,17,2488,2025,463
Márki-Zay Péter,Budapest,17,1670,1248,422
Jakab Péter,Budapest,17,820,648,172
Fekete-Győr András,Budapest,17,264,192,72
Karácsony Gergely,Budapest,18,4025,3150,875
Dobrev Klára,Budapest,18,3505,3213,292
Márki-Zay Péter,Budapest,18,2697,2012,685
Jakab Péter,Budapest,18,590,464,126
Fekete-Győr András,Budapest,18,549,415,134
Dobrev Klára,Csongrád,1,3103,3103,0
Fekete-Győr András,Csongrád,1,2805,2805,0
Jakab Péter,Csongrád,1,2120,2120,0
Karácsony Gergely,Csongrád,1,802,802,0
Márki-Zay Péter,Csongrád,1,268,268,0
Dobrev Klára,Csongrád,2,2189,1966,223
Karácsony Gergely,Csongrád,2,1957,1385,572
Márki-Zay Péter,Csongrád,2,1881,1242,639
Jakab Péter,Csongrád,2,649,525,124
Fekete-Győr András,Csongrád,2,258,161,97
Dobrev Klára,Csongrád,3,1632,1543,89
Márki-Zay Péter,Csongrád,3,1382,1091,291
Jakab Péter,Csongrád,3,1149,1001,148
Karácsony Gergely,Csongrád,3,849,665,184
Fekete-Győr András,Csongrád,3,172,130,42
Márki-Zay Péter,Csongrád,4,3195,2686,509
Dobrev Klára,Csongrád,4,1571,1461,110
Jakab Péter,Csongrád,4,762,639,123
Karácsony Gergely,Csongrád,4,697,526,171
Fekete-Győr András,Csongrád,4,89,65,24
Dobrev Klára,Fejér,1,2076,1869,207
Karácsony Gergely,Fejér,1,1752,1365,387
Márki-Zay Péter,Fejér,1,1132,694,438
Jakab Péter,Fejér,1,466,359,107
Fekete-Győr András,Fejér,1,205,130,75
Dobrev Klára,Fejér,2,1271,1092,179
Márki-Zay Péter,Fejér,2,805,465,340
Jakab Péter,Fejér,2,733,576,157
Karácsony Gergely,Fejér,2,699,467,232
Fekete-Győr András,Fejér,2,104,58,46
Dobrev Klára,Fejér,3,1514,1207,307
Márki-Zay Péter,Fejér,3,1110,587,523
Karácsony Gergely,Fejér,3,1034,578,456
Jakab Péter,Fejér,3,448,256,192
Fekete-Győr András,Fejér,3,211,118,93
Dobrev Klára,Fejér,4,2750,2569,181
Jakab Péter,Fejér,4,1449,1293,156
Karácsony Gergely,Fejér,4,1140,906,234
Márki-Zay Péter,Fejér,4,870,640,230
Fekete-Győr András,Fejér,4,202,157,45
Dobrev Klára,Fejér,5,1091,978,113
Jakab Péter,Fejér,5,515,394,121
Márki-Zay Péter,Fejér,5,508,303,205
Karácsony Gergely,Fejér,5,364,233,131
Fekete-Győr András,Fejér,5,55,31,24
Dobrev Klára,Győr-Moson-Sopron,1,1989,1844,145
Karácsony Gergely,Győr-Moson-Sopron,1,1548,1176,372
Márki-Zay Péter,Győr-Moson-Sopron,1,1297,899,398
Jakab Péter,Győr-Moson-Sopron,1,587,461,126
Fekete-Győr András,Győr-Moson-Sopron,1,248,159,89
Dobrev Klára,Győr-Moson-Sopron,2,1790,1665,125
Karácsony Gergely,Győr-Moson-Sopron,2,1081,801,280
Márki-Zay Péter,Győr-Moson-Sopron,2,1045,728,317
Jakab Péter,Győr-Moson-Sopron,2,721,581,140
Fekete-Győr András,Győr-Moson-Sopron,2,152,109,43
Dobrev Klára,Győr-Moson-Sopron,3,1069,977,92
Jakab Péter,Győr-Moson-Sopron,3,533,399,134
Karácsony Gergely,Győr-Moson-Sopron,3,508,348,160
Márki-Zay Péter,Győr-Moson-Sopron,3,507,303,204
Fekete-Győr András,Győr-Moson-Sopron,3,73,46,27
Dobrev Klára,Győr-Moson-Sopron,4,1519,1356,163
Karácsony Gergely,Győr-Moson-Sopron,4,1113,804,309
Márki-Zay Péter,Győr-Moson-Sopron,4,942,628,314
Jakab Péter,Győr-Moson-Sopron,4,870,749,121
Fekete-Győr András,Győr-Moson-Sopron,4,134,91,43
